,precision,recall,f1-score,support,y_variable,model
-1.0,0.6027397260273972,0.3553162853297443,0.44707874682472487,743.0,ps_Entry/Exit_sma,Naive Bayes
0.0,0.6171003717472119,0.4432576769025367,0.5159285159285159,749.0,ps_Entry/Exit_sma,Naive Bayes
1.0,0.5130568356374808,0.8498727735368957,0.6398467432950192,786.0,ps_Entry/Exit_sma,Naive Bayes
accuracy,0.5548726953467954,0.5548726953467954,0.5548726953467954,0.5548726953467954,ps_Entry/Exit_sma,Naive Bayes
macro avg,0.5776323111373634,0.5494822452563922,0.5342846686827533,2278.0,ps_Entry/Exit_sma,Naive Bayes
weighted avg,0.5765173255873914,0.5548726953467954,0.5362289321997866,2278.0,ps_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,743.0,ps_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,749.0,ps_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,786.0,ps_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,2278.0,ps_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2278.0,ps_Entry/Exit_sma,Random Forest Classifier
-1.0,0.42350332594235035,0.2570659488559892,0.3199329983249581,743.0,ps_Entry/Exit_sma,Logistic Regression
0.0,0.2896678966789668,0.2096128170894526,0.2432223082881487,749.0,ps_Entry/Exit_sma,Logistic Regression
1.0,0.43190661478599224,0.7061068702290076,0.5359729599227426,786.0,ps_Entry/Exit_sma,Logistic Regression
accuracy,0.39640035118525024,0.39640035118525024,0.39640035118525024,0.39640035118525024,ps_Entry/Exit_sma,Logistic Regression
macro avg,0.38169261246910313,0.3909285453914831,0.3663760888452831,2278.0,ps_Entry/Exit_sma,Logistic Regression
weighted avg,0.38239807945983423,0.39640035118525024,0.36925306108979056,2278.0,ps_Entry/Exit_sma,Logistic Regression
-1.0,0.6143911439114391,0.43700787401574803,0.5107361963190183,762.0,ps_Entry/Exit_ema,Naive Bayes
0.0,0.5684210526315789,0.6914212548015365,0.6239168110918545,781.0,ps_Entry/Exit_ema,Naive Bayes
1.0,0.4720873786407767,0.5032341526520052,0.4871634314339387,773.0,ps_Entry/Exit_ema,Naive Bayes
accuracy,0.5449050086355786,0.5449050086355786,0.5449050086355786,0.5449050086355786,ps_Entry/Exit_ema,Naive Bayes
macro avg,0.5516331917279316,0.5438877604897633,0.5406054796149372,2316.0,ps_Entry/Exit_ema,Naive Bayes
weighted avg,0.551393107709456,0.5449050086355786,0.5410351224336204,2316.0,ps_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,762.0,ps_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,781.0,ps_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,773.0,ps_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2316.0,ps_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2316.0,ps_Entry/Exit_ema,Random Forest Classifier
-1.0,0.544392523364486,0.6115485564304461,0.5760197775030902,762.0,ps_Entry/Exit_ema,Logistic Regression
0.0,0.7267508610792193,0.8104993597951344,0.7663438256658596,781.0,ps_Entry/Exit_ema,Logistic Regression
1.0,0.5365025466893039,0.4087968952134541,0.46402349486049926,773.0,ps_Entry/Exit_ema,Logistic Regression
accuracy,0.6109671848013817,0.6109671848013817,0.6109671848013817,0.6109671848013817,ps_Entry/Exit_ema,Logistic Regression
macro avg,0.602548643711003,0.6102816038130116,0.602129032676483,2316.0,ps_Entry/Exit_ema,Logistic Regression
