,precision,recall,f1-score,support,y_variable,model
1.0,0.44064748201438847,0.5493273542600897,0.4890219560878243,892.0,pfcf_Entry/Exit_sma,Logistic Regression
accuracy,0.4323394495412844,0.4323394495412844,0.4323394495412844,0.4323394495412844,pfcf_Entry/Exit_sma,Logistic Regression
macro avg,0.4115496984241455,0.4278585557629067,0.40908699050025094,2616.0,pfcf_Entry/Exit_sma,Logistic Regression
weighted avg,0.4130702399443655,0.4323394495412844,0.41228778962621454,2616.0,pfcf_Entry/Exit_sma,Logistic Regression
-1.0,0.6,0.4261168384879725,0.4983255190890824,873.0,pfcf_Entry/Exit_ema,Naive Bayes
0.0,0.42403846153846153,0.5151869158878505,0.46518987341772156,856.0,pfcf_Entry/Exit_ema,Naive Bayes
1.0,0.5844298245614035,0.6322657176749703,0.6074074074074074,843.0,pfcf_Entry/Exit_ema,Naive Bayes
accuracy,0.5233281493001555,0.5233281493001555,0.5233281493001555,0.5233281493001555,pfcf_Entry/Exit_ema,Naive Bayes
macro avg,0.5361560953666217,0.5245231573502643,0.523640933304737,2572.0,pfcf_Entry/Exit_ema,Naive Bayes
weighted avg,0.5363340844409743,0.5233281493001555,0.5230502154956388,2572.0,pfcf_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,873.0,pfcf_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,856.0,pfcf_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,843.0,pfcf_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pfcf_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2572.0,pfcf_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2572.0,pfcf_Entry/Exit_ema,Random Forest Classifier
-1.0,0.4297971918876755,0.6311569301260023,0.511368909512761,873.0,pfcf_Entry/Exit_ema,Logistic Regression
0.0,0.4824561403508772,0.6425233644859814,0.5511022044088177,856.0,pfcf_Entry/Exit_ema,Logistic Regression
1.0,0.5533333333333333,0.09845788849347568,0.1671701913393756,843.0,pfcf_Entry/Exit_ema,Logistic Regression
accuracy,0.4603421461897356,0.4603421461897356,0.4603421461897356,0.4603421461897356,pfcf_Entry/Exit_ema,Logistic Regression
macro avg,0.48852888852396203,0.45737939436848646,0.40988043508698474,2572.0,pfcf_Entry/Exit_ema,Logistic Regression
weighted avg,0.48781314333526116,0.4603421461897356,0.4117780001079635,2572.0,pfcf_Entry/Exit_ema,Logistic Regression
-1.0,0.36721311475409835,0.14395886889460155,0.20683287165281627,778.0,pe_Entry/Exit_sma,Naive Bayes
0.0,0.49927849927849927,0.3954285714285714,0.4413265306122449,875.0,pe_Entry/Exit_sma,Naive Bayes
1.0,0.47731755424063116,0.8383371824480369,0.608294930875576,866.0,pe_Entry/Exit_sma,Naive Bayes
accuracy,0.4700277888050814,0.4700277888050814,0.4700277888050814,0.4700277888050814,pe_Entry/Exit_sma,Naive Bayes
macro avg,0.44793638942440955,0.45924154092373665,0.418818111046879,2519.0,pe_Entry/Exit_sma,Naive Bayes
weighted avg,0.45093985395782527,0.4700277888050814,0.4263041280547257,2519.0,pe_Entry/Exit_sma,Naive Bayes
