Date,GOOGL Adj. Close,GOOGL P/S (LTM),GOOGL P/FCF (LTM),GOOGL P/E (LTM),GOOGL Debt/Equity (LTM),actual_returns,ps_sma_fast,ps_sma_fast30,ps_sma_slow,ps_ema_fast,ps_ema_fast30,ps_ema_slow,pfcf_sma_fast,pfcf_sma_fast30,pfcf_sma_slow,pfcf_ema_fast,pfcf_ema_fast30,pfcf_ema_slow,pe_sma_fast,pe_sma_fast30,pe_sma_slow,pe_ema_fast,pe_ema_fast30,pe_ema_slow
2019-01-02,52.734,5.624312583147244,31.9136181204614,39.41372981295773,,,,,,5.624312583147244,5.624312583147244,5.624312583147244,,,,31.9136181204614,31.9136181204614,31.9136181204614,,,,39.41372981295773,39.41372981295773,39.41372981295773
2019-01-03,51.2735,5.466324052446367,31.017155564075672,38.306586998518696,,-0.027695604353927372,,,,5.595587395747084,5.61411977471493,5.621184097390791,,,,31.750624928391268,31.85578182650103,31.895866386671585,,,,39.21243111942336,39.34230124428424,39.39180619286983
2019-01-04,53.9035,5.753529497574423,32.64682403687683,40.3192485723093,,0.05129355319999607,,,,5.624304141533873,5.623113950383285,5.623804798384526,,,,31.913570220843187,31.906816807815602,31.9107368351905,,,,39.4136706563117,39.40533010415683,39.4101713885023
2019-01-07,53.796,5.741558031193692,32.5788952365535,40.23535562816376,,-0.0019943046369902406,,,,5.6456230305629305,5.6307555039839565,5.626136545568865,,,,32.034538405517786,31.950176706443855,31.923967694623432,,,,39.56306792392117,39.45888013796373,39.42651167047579
2019-01-08,54.2685,5.787965514376357,32.84222176300957,40.56056728317413,,0.008783180905643562,,,,5.671503482165371,5.640898085299595,5.629341079604657,,,,32.181389925061744,32.00772800041584,31.942150943502362,,,,39.74443144378534,39.529956727977314,39.44896821726189
2019-01-09,54.0825,5.773697407881971,32.76126130869052,40.46058007833823,,-0.0034274026368887878,,,,5.690084195932025,5.649465783530717,5.632199620758663,,,,32.28682108572152,32.056343052562596,31.958370950733812,,,,39.874640286431315,39.58999694412963,39.469000135303006
2019-01-10,53.9415,5.754530475559423,32.65250381172718,40.32626316747383,,-0.0026071279988907348,,,,5.701801701318824,5.6562441507583765,5.6346220139230345,,,,32.35330885408619,32.09480503702483,31.972116155901997,,,,39.95675353752995,39.637497990797,39.48597564089055
2019-01-11,53.2235,5.680913351939692,32.23478364849041,39.81037338057802,,-0.013310716238888354,,,,5.698003819613527,5.657835712124913,5.63553867408178,,,,32.33175881670513,32.10383591518389,31.977317492388895,,,,39.93013896353869,39.64865124175062,39.49239935850812
2019-01-14,52.5755,5.612747577887977,31.84799567221567,39.332685243361794,,-0.012175073041043927,,,,5.682502684754336,5.65492680023866,5.635087365246259,,,,32.24380188134341,32.08733009305691,31.974756664266653,,,,39.82151101441561,39.62826633862876,39.489236702762646
2019-01-15,54.3255,5.7933436362481325,32.872738439507145,40.59825577207328,,0.033285465663664526,5.698892212825529,,,5.702655585025935,5.663856918690884,5.638221152790851,32.33679976016079,,,32.35815398282772,32.13800159927951,31.99253848159815,39.936364593694876,,,39.962737333989736,39.6908463020768,39.51119747641236
2019-01-16,54.4755,5.811616951288251,32.976425350460964,40.72631044384532,,0.002761134273959742,5.717622649639628,,,5.722466742528175,5.673389824019747,5.641654732959116,32.44308048316074,,,32.47056695876104,32.19209345419445,32.01202138989246,40.067622656783634,,,40.10156880850893,39.75765044025541,39.535259119331826
2019-01-17,54.956,5.861250342707098,33.25805640782978,41.074128430517135,,0.008820478930895659,5.757115278665702,,,5.747700124378888,5.6855098574834475,5.646003160874917,32.667170567536154,,,32.61374685859172,32.26086525765479,32.03669535064369,40.34437679998348,,,40.27839783069224,39.84258450414326,39.565731778959254
2019-01-18,55.365,5.905540938952459,33.50937124035479,41.384505488666456,,0.007442317490355954,5.772316422803504,,,5.776398454301354,5.69970541112661,5.651142522817047,32.75342528788396,,,32.77658765527591,32.34141403073221,32.06585724944985,40.450902491619196,,,40.479508313960274,39.94206327733831,39.60174709994355
2019-01-22,53.9315,5.7545093512312695,32.6523839475248,40.326115133638574,,-0.025891808904542568,5.773611554807262,,,5.77241861737952,5.703241149197879,5.653189390706437,32.76077415898108,,,32.754005162957526,32.361476606009155,32.07747163951074,40.45997844216667,,,40.45161864481087,39.96684081645446,39.61609102140286
2019-01-23,54.2205,5.783497496596492,32.816869222397,40.5292565686696,,0.005358649397847248,5.773164753029277,,,5.774432959055333,5.708418978062307,5.655769749238913,32.75823890491982,,,32.76543499194652,32.39085677480837,32.092113175805515,40.456847370716225,,,40.465734630967,40.00312570369415,39.634173507487354
2019-01-24,54.2,5.777909767583509,32.78516318770481,40.49009920706676,,-0.0003780857793638237,5.7735859889994305,,,5.775065106060455,5.712902254805611,5.658188363463558,32.760629092821254,,,32.76902193662984,32.416295898221044,32.10583693841738,40.45979928358908,,,40.47016455389422,40.03454334907303,39.6511225312414
2019-01-25,55.0755,5.8705496525880525,33.31082278948748,41.139295592134914,,0.016153136531365186,5.785187906702293,,,5.792425932701836,5.723073054662542,5.662393537505627,32.82646099059728,,,32.867531182603955,32.474007310560815,32.12969804437917,40.541102526055184,,,40.59182474266525,40.10581768733509,39.68059130472444
2019-01-28,53.993,5.756600476337148,32.66424946301394,40.34076919823932,,-0.019654837450408857,5.792756619142039,,,5.785912213362802,5.725236114125421,5.664259021442884,32.86940757204964,,,32.830570869951224,32.486280997815854,32.14028322098579,40.59414210782132,,,40.546178280042355,40.120975849328914,39.693664134298984
2019-01-29,53.503,5.705034264511112,32.37165114672085,39.9794065054048,,-0.009075250495434672,5.801985287804352,,,5.771207131753403,5.723932768989014,5.66506645199869,32.92177311950015,,,32.74713092027297,32.47888552355166,32.14486476406965,40.65881423402562,,,40.44312886647189,40.1118423432693,39.69932239907336
