"Date","GOOGL P/S (LTM)","MMM P/S (LTM)","NVDA P/S (LTM)","PG P/S (LTM)","GOOGL Open","GOOGL Low","GOOGL High","GOOGL Close","GOOGL Adj. Close","MMM Open","MMM Low","MMM High","MMM Close","MMM Adj. Close","NVDA Open","NVDA Low","NVDA High","NVDA Close","NVDA Adj. Close","PG Open","PG Low","PG High","PG Close","PG Adj. Close","GOOGL P/FCF (LTM)","MMM P/FCF (LTM)","NVDA P/FCF (LTM)","NVDA P/FCF (LTM)","PG P/FCF (LTM)","GOOGL P/E (LTM)","MMM P/E (LTM)","NVDA P/E (LTM)","PG P/E (LTM)","GOOGL Debt/Equity (LTM)","MMM Debt/Equity (LTM)","NVDA Debt/Equity (LTM)","PG Debt/Equity (LTM)"
12-12-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.09625,12.007,12.159,12.0445,12.0445,38.893097623644,38.592174367043,39.16935503954,79.01,38.976961482041006,5.487237579719706,5.3985617312385,5.505584433521707,5.965,5.4719491464465,38.9559094484,38.66946893775,39.0412321537,63.7,38.8218309115,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-13-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.11725,11.9255,12.1375,11.97475,11.97475,39.21868672095,38.957228809477,39.307483747488,79.25,39.095357517425,5.516287070687104,5.516287070687104,5.580501058994103,6.035,5.5361631347535,38.84011434834999,38.54757935875,38.97419288525,63.4,38.638996543,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-14-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.00625,11.9315,12.09375,12.053,12.053,39.16935503954,38.72536990685,39.194020880245,78.77,38.858565446657,5.580501058994103,5.575914345543604,5.704342322157604,6.141666,5.634012410135707,38.5780517535,38.5658627956,38.8705867431,63.35,38.60852414825,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-15-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.065875,11.996,12.10275,12.0075,12.0075,39.302550579347,38.572441694479,39.302550579347,78.31,38.631639712171,5.670706117739707,5.635541620400104,5.733391813125,6.25,5.733391813125,38.69384685355,38.62071310615,39.1509327748,64.11,39.07170454845,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-18-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.0625,11.518,12.0685,11.57,11.57,38.651372384735,38.592174367043,38.976961482041006,78.35,38.651372384735,5.738742673036353,5.736449316311103,5.901571000529104,6.358333,5.832770298771603,39.01685423789999,38.79135851675,39.16921621165,64.16,39.10217694319999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-19-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.543,11.4625,11.73275,11.71575,11.71575,38.611907039607,38.345515959993,38.705637234286,78.11,38.532976349351,5.757395001954157,5.750209456662604,5.947438135034104,6.45,5.916860351145,38.8340198694,38.8218309115,39.27891683275,64.39,39.24234995905,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-20-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.75,11.55825,11.7875,11.5725,11.5725,38.62670654403,38.552709021915,39.07069167672,78.83,38.888164455503,5.886281649913207,5.845001228858707,5.956611561935103,6.376666,5.849587942309207,39.1874996485,39.01685423789999,39.2972002696,64.47,39.29110579064999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-21-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.604625,11.308512,11.63125,11.405,11.405,38.9720283139,38.848699110375,39.124956526271,78.81,38.878298119221,5.881694936462707,5.733391813125,5.898513497343,6.321666,5.799134094353707,39.1874996485,38.9559094484,39.3093892275,64.05,39.03513767475,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-22-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.4375,11.31825,11.466,11.3895,11.3895,38.883231287362,38.646439216594,38.976961482041006,78.35,38.651372384735,5.789960667452706,5.634012410135707,5.809836731519103,6.171666,5.6615326908387065,39.14483829585,38.85230330625,39.15702725375,63.8,38.88277570099999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-26-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.413,11.36475,11.48675,11.43825,11.43825,38.557642190056,38.23205309275,38.656305552876,78.03,38.493511004223,5.6921113920705,5.637070830664499,5.742565240026,6.17,5.6600043979170005,38.80354747465,38.760886122,39.16921621165,64.19,39.12046038005,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-27-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.5,11.4775,11.702,11.70075,11.70075,38.641506048453,38.55246236350795,38.814166933388,78.47,38.710570402427,5.684466258091207,5.684466258091207,5.754796170113104,6.251666,5.734920106046707,39.248444438,39.15702725375,39.3581450591,64.42,39.2606333959,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-28-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.678,11.55625,11.7145,11.564,11.564,38.72536990685,38.488577836082,38.917763464349,78.16,38.557642190056,5.741036029761604,5.667648614553603,5.7471519534765,6.206666,5.693639684992207,39.10827142215,39.0777990274,39.3825229749,64.48,39.2972002696,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-29-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.5525,11.4965,11.61175,11.512,11.512,38.52804318121,38.389914473262,38.720436738709,77.93,38.44417932281301,5.693639684992207,5.652359263937707,5.812894234705207,6.168333,5.658475187652603,39.2240665222,39.0656100695,39.44956224335,64.27,39.16921621165,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-31-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3534,,0.5536
01-03-2007,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.65,11.52775,11.9165,11.68975,11.68975,38.246852597173,38.172855075058,38.898030791785,78.26,38.606973871466,5.667648614553603,5.319058392315604,5.736449316311103,6.013333,5.516287070687104,38.8340198694,38.8218309115,39.4069008907,64.54,39.3337671433,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
01-04-2007,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.725,11.70875,12.09875,12.0815,12.0815,38.67603822544,38.207387252045,38.680971393581,77.95,38.454045659095,5.496411006620707,5.355752099919604,5.516287070687104,5.985,5.490296000248501,39.2118775643,38.85230330625,39.3093892275,64.05,39.03513767475,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
01-05-2007,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.0625,11.95275,12.1875,12.17975,12.17975,38.424446650249,37.990327853841,38.42937981839,77.42,38.192587747622,5.360338813370103,5.109598783857001,5.381743170358207,5.61,5.146292491461001,38.92543705364999,38.6024296693,39.00466528,63.5,38.6999413325,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
