,precision,recall,f1-score,support,y_variable,model
-1.0,0.41458852867830426,0.6388088376560999,0.502835538752363,1041.0,ps_Entry/Exit_sma,Naive Bayes
0.0,0.4802955665024631,0.380859375,0.42483660130718953,1024.0,ps_Entry/Exit_sma,Naive Bayes
1.0,0.3225806451612903,0.21297192642787996,0.2565597667638484,1033.0,ps_Entry/Exit_sma,Naive Bayes
accuracy,0.4115558424790187,0.4115558424790187,0.4115558424790187,0.4115558424790187,ps_Entry/Exit_sma,Naive Bayes
macro avg,0.4058215801140192,0.41088004636132663,0.3947439689411336,3098.0,ps_Entry/Exit_sma,Naive Bayes
weighted avg,0.40562786472054546,0.4115558424790187,0.394935672900848,3098.0,ps_Entry/Exit_sma,Naive Bayes
-1.0,0.9990403071017274,1.0,0.99951992318771,1041.0,ps_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,0.9990234375,0.9995114802149487,1024.0,ps_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,1033.0,ps_Entry/Exit_sma,Random Forest Classifier
accuracy,0.999677211103938,0.999677211103938,0.999677211103938,0.999677211103938,ps_Entry/Exit_sma,Random Forest Classifier
macro avg,0.9996801023672425,0.9996744791666666,0.9996771344675529,3098.0,ps_Entry/Exit_sma,Random Forest Classifier
weighted avg,0.9996775208821493,0.999677211103938,0.999677209741289,3098.0,ps_Entry/Exit_sma,Random Forest Classifier
-1.0,0.3541341653666147,0.43611911623439004,0.39087386999569523,1041.0,ps_Entry/Exit_sma,Logistic Regression
0.0,0.3536316947909024,0.470703125,0.40385421030582325,1024.0,ps_Entry/Exit_sma,Logistic Regression
1.0,0.31788079470198677,0.1393998063891578,0.19380888290713325,1033.0,ps_Entry/Exit_sma,Logistic Regression
accuracy,0.3486120077469335,0.3486120077469335,0.3486120077469335,0.3486120077469335,ps_Entry/Exit_sma,Logistic Regression
macro avg,0.3418822182865013,0.34874068254118257,0.3295123210695506,3098.0,ps_Entry/Exit_sma,Logistic Regression
weighted avg,0.34187972322133064,0.3486120077469335,0.3294548050554391,3098.0,ps_Entry/Exit_sma,Logistic Regression
-1.0,0.3598026020637057,0.7689357622243528,0.4902200488997555,1043.0,ps_Entry/Exit_ema,Naive Bayes
0.0,0.5522388059701493,0.1806640625,0.2722590139808683,1024.0,ps_Entry/Exit_ema,Naive Bayes
1.0,0.2902621722846442,0.15033947623666344,0.19808306709265178,1031.0,ps_Entry/Exit_ema,Naive Bayes
accuracy,0.36862491930277597,0.36862491930277597,0.36862491930277597,0.36862491930277597,ps_Entry/Exit_ema,Naive Bayes
macro avg,0.4007678601061664,0.36664643365367205,0.32018737665775854,3098.0,ps_Entry/Exit_ema,Naive Bayes
weighted avg,0.4002669305653151,0.36862491930277597,0.3209542877635178,3098.0,ps_Entry/Exit_ema,Naive Bayes
-1.0,0.9990421455938697,1.0,0.9995208433157643,1043.0,ps_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,0.998046875,0.9990224828934506,1024.0,ps_Entry/Exit_ema,Random Forest Classifier
1.0,0.999031007751938,1.0,0.9995152690256908,1031.0,ps_Entry/Exit_ema,Random Forest Classifier
accuracy,0.9993544222078761,0.9993544222078761,0.9993544222078761,0.9993544222078761,ps_Entry/Exit_ema,Random Forest Classifier
macro avg,0.9993577177819359,0.9993489583333334,0.9993528650783019,3098.0,ps_Entry/Exit_ema,Random Forest Classifier
weighted avg,0.9993550441725804,0.9993544222078761,0.9993542622423249,3098.0,ps_Entry/Exit_ema,Random Forest Classifier
-1.0,0.3798677443056576,0.4956855225311601,0.4301164725457571,1043.0,ps_Entry/Exit_ema,Logistic Regression
0.0,0.3892921960072595,0.4189453125,0.4035747883349012,1024.0,ps_Entry/Exit_ema,Logistic Regression
1.0,0.2440944881889764,0.15033947623666344,0.18607442977190877,1031.0,ps_Entry/Exit_ema,Logistic Regression
accuracy,0.355390574564235,0.355390574564235,0.355390574564235,0.355390574564235,ps_Entry/Exit_ema,Logistic Regression
macro avg,0.3377514761672978,0.35499010375594114,0.339921896884189,3098.0,ps_Entry/Exit_ema,Logistic Regression
weighted avg,0.33779815472726576,0.355390574564235,0.3401274374483542,3098.0,ps_Entry/Exit_ema,Logistic Regression
-1.0,0.5312977099236641,0.3359073359073359,0.4115907746895328,1036.0,pfcf_Entry/Exit_sma,Naive Bayes
0.0,0.49012567324955114,0.5326829268292683,0.5105189340813464,1025.0,pfcf_Entry/Exit_sma,Naive Bayes
1.0,0.5195861049519586,0.6625824693685203,0.5824357912178956,1061.0,pfcf_Entry/Exit_sma,Naive Bayes
accuracy,0.511531069827034,0.511531069827034,0.511531069827034,0.511531069827034,pfcf_Entry/Exit_sma,Naive Bayes
macro avg,0.513669829375058,0.5103909107017082,0.5015151666629248,3122.0,pfcf_Entry/Exit_sma,Naive Bayes
weighted avg,0.5138001601267566,0.511531069827034,0.5021314300108659,3122.0,pfcf_Entry/Exit_sma,Naive Bayes
-1.0,0.9990356798457087,1.0,0.9995176073323685,1036.0,pfcf_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,0.9990243902439024,0.9995119570522206,1025.0,pfcf_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,1061.0,pfcf_Entry/Exit_sma,Random Forest Classifier
accuracy,0.9996796925048046,0.9996796925048046,0.9996796925048046,0.9996796925048046,pfcf_Entry/Exit_sma,Random Forest Classifier
macro avg,0.9996785599485696,0.9996747967479674,0.9996765214615296,3122.0,pfcf_Entry/Exit_sma,Random Forest Classifier
weighted avg,0.9996800013837778,0.9996796925048046,0.999679691599891,3122.0,pfcf_Entry/Exit_sma,Random Forest Classifier
-1.0,0.43443223443223444,0.5723938223938224,0.4939608496459808,1036.0,pfcf_Entry/Exit_sma,Logistic Regression
0.0,0.38527131782945734,0.4848780487804878,0.42937365010799133,1025.0,pfcf_Entry/Exit_sma,Logistic Regression
1.0,0.24839400428265523,0.10933081998114987,0.1518324607329843,1061.0,pfcf_Entry/Exit_sma,Logistic Regression
accuracy,0.3862908392056374,0.3862908392056374,0.3862908392056374,0.3862908392056374,pfcf_Entry/Exit_sma,Logistic Regression
macro avg,0.35603251884811565,0.38886756371848663,0.3583889868289855,3122.0,pfcf_Entry/Exit_sma,Logistic Regression
weighted avg,0.3550675638023337,0.3862908392056374,0.35648484062511965,3122.0,pfcf_Entry/Exit_sma,Logistic Regression
-1.0,0.47421203438395415,0.32073643410852715,0.3826589595375723,1032.0,pfcf_Entry/Exit_ema,Naive Bayes
0.0,0.36741214057507987,0.7853658536585366,0.5006218905472637,1025.0,pfcf_Entry/Exit_ema,Naive Bayes
1.0,0.0,0.0,0.0,1058.0,pfcf_Entry/Exit_ema,Naive Bayes
accuracy,0.36468699839486357,0.36468699839486357,0.36468699839486357,0.36468699839486357,pfcf_Entry/Exit_ema,Naive Bayes
macro avg,0.28054139165301134,0.3687007625890213,0.2944269500282786,3115.0,pfcf_Entry/Exit_ema,Naive Bayes
weighted avg,0.2780045789963716,0.36468699839486357,0.291506094399268,3115.0,pfcf_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,1032.0,pfcf_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,0.9990243902439024,0.9995119570522206,1025.0,pfcf_Entry/Exit_ema,Random Forest Classifier
1.0,0.9990557129367328,1.0,0.9995276334435522,1058.0,pfcf_Entry/Exit_ema,Random Forest Classifier
accuracy,0.9996789727126806,0.9996789727126806,0.9996789727126806,0.9996789727126806,pfcf_Entry/Exit_ema,Random Forest Classifier
macro avg,0.9996852376455777,0.9996747967479674,0.999679863498591,3115.0,pfcf_Entry/Exit_ema,Random Forest Classifier
weighted avg,0.9996792758545949,0.9996789727126806,0.999678970196406,3115.0,pfcf_Entry/Exit_ema,Random Forest Classifier
-1.0,0.47083926031294454,0.32073643410852715,0.38155619596541784,1032.0,pfcf_Entry/Exit_ema,Logistic Regression
0.0,0.4088737201365188,0.584390243902439,0.4811244979919679,1025.0,pfcf_Entry/Exit_ema,Logistic Regression
