,precision,recall,f1-score,support,y_variable,model
-1.0,0.38786516853932584,0.8378640776699029,0.5302611367127495,1030.0,ps_Entry/Exit_sma30,Naive Bayes
0.0,0.44632086851628466,0.3557692307692308,0.39593365436062067,1040.0,ps_Entry/Exit_sma30,Naive Bayes
1.0,0.0,0.0,0.0,1064.0,ps_Entry/Exit_sma30,Naive Bayes
accuracy,0.39342693044033183,0.39342693044033183,0.39342693044033183,0.39342693044033183,ps_Entry/Exit_sma30,Naive Bayes
macro avg,0.27806201235187017,0.39787776947971126,0.30873159702445674,3134.0,ps_Entry/Exit_sma30,Naive Bayes
weighted avg,0.275582267661915,0.39342693044033183,0.30566048862449824,3134.0,ps_Entry/Exit_sma30,Naive Bayes
-1.0,1.0,1.0,1.0,1030.0,ps_Entry/Exit_sma30,Random Forest Classifier
0.0,1.0,1.0,1.0,1040.0,ps_Entry/Exit_sma30,Random Forest Classifier
1.0,1.0,1.0,1.0,1064.0,ps_Entry/Exit_sma30,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_sma30,Random Forest Classifier
macro avg,1.0,1.0,1.0,3134.0,ps_Entry/Exit_sma30,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3134.0,ps_Entry/Exit_sma30,Random Forest Classifier
-1.0,0.4432534678436318,0.6825242718446602,0.5374617737003059,1030.0,ps_Entry/Exit_sma30,Logistic Regression
0.0,0.7348066298342542,0.3836538461538462,0.5041061276058117,1040.0,ps_Entry/Exit_sma30,Logistic Regression
1.0,0.4388059701492537,0.4144736842105263,0.42629289511841467,1064.0,ps_Entry/Exit_sma30,Logistic Regression
accuracy,0.49234205488194,0.49234205488194,0.49234205488194,0.49234205488194,ps_Entry/Exit_sma30,Logistic Regression
macro avg,0.5389553559423799,0.4935506007363442,0.48928693214151076,3134.0,ps_Entry/Exit_sma30,Logistic Regression
weighted avg,0.5384937840285166,0.49234205488194,0.48865081047458603,3134.0,ps_Entry/Exit_sma30,Logistic Regression
-1.0,0.3593486805165637,0.6112702960840497,0.4526166902404526,1047.0,ps_Entry/Exit_ema30,Naive Bayes
0.0,0.6894904458598726,0.4224390243902439,0.5238959467634603,1025.0,ps_Entry/Exit_ema30,Naive Bayes
1.0,0.5642076502732241,0.3863423760523854,0.45863409217101614,1069.0,ps_Entry/Exit_ema30,Naive Bayes
accuracy,0.47309773957338425,0.47309773957338425,0.47309773957338425,0.47309773957338425,ps_Entry/Exit_ema30,Naive Bayes
macro avg,0.5376822588832201,0.473350565508893,0.4783822430583096,3141.0,ps_Entry/Exit_ema30,Naive Bayes
weighted avg,0.5368047607925145,0.47309773957338425,0.4779251399697921,3141.0,ps_Entry/Exit_ema30,Naive Bayes
-1.0,1.0,1.0,1.0,1047.0,ps_Entry/Exit_ema30,Random Forest Classifier
0.0,1.0,1.0,1.0,1025.0,ps_Entry/Exit_ema30,Random Forest Classifier
1.0,1.0,1.0,1.0,1069.0,ps_Entry/Exit_ema30,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_ema30,Random Forest Classifier
macro avg,1.0,1.0,1.0,3141.0,ps_Entry/Exit_ema30,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3141.0,ps_Entry/Exit_ema30,Random Forest Classifier
-1.0,0.39726877715704534,0.6112702960840497,0.48156508653122654,1047.0,ps_Entry/Exit_ema30,Logistic Regression
0.0,0.4274611398963731,0.32195121951219513,0.3672787979966611,1025.0,ps_Entry/Exit_ema30,Logistic Regression
1.0,0.3034300791556728,0.21515434985968196,0.25177887246852765,1069.0,ps_Entry/Exit_ema30,Logistic Regression
accuracy,0.38204393505253104,0.38204393505253104,0.38204393505253104,0.38204393505253104,ps_Entry/Exit_ema30,Logistic Regression
macro avg,0.37605333206969704,0.3827919551519756,0.36687425233213844,3141.0,ps_Entry/Exit_ema30,Logistic Regression
weighted avg,0.3751846013036049,0.38204393505253104,0.36606527482127593,3141.0,ps_Entry/Exit_ema30,Logistic Regression
-1.0,0.4055512721665382,0.5077220077220077,0.45092156022288904,1036.0,pfcf_Entry/Exit_sma30,Naive Bayes
0.0,0.3654485049833887,0.42759961127308066,0.394088669950739,1029.0,pfcf_Entry/Exit_sma30,Naive Bayes
1.0,0.45527156549520764,0.268361581920904,0.33767772511848343,1062.0,pfcf_Entry/Exit_sma30,Naive Bayes
accuracy,0.4000639590661976,0.4000639590661976,0.4000639590661976,0.4000639590661976,pfcf_Entry/Exit_sma30,Naive Bayes
macro avg,0.40875711421504485,0.4012277336386641,0.3942293184307038,3127.0,pfcf_Entry/Exit_sma30,Naive Bayes
weighted avg,0.4092408161651267,0.4000639590661976,0.3937594249587633,3127.0,pfcf_Entry/Exit_sma30,Naive Bayes
-1.0,1.0,1.0,1.0,1036.0,pfcf_Entry/Exit_sma30,Random Forest Classifier
0.0,1.0,1.0,1.0,1029.0,pfcf_Entry/Exit_sma30,Random Forest Classifier
1.0,1.0,1.0,1.0,1062.0,pfcf_Entry/Exit_sma30,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pfcf_Entry/Exit_sma30,Random Forest Classifier
macro avg,1.0,1.0,1.0,3127.0,pfcf_Entry/Exit_sma30,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3127.0,pfcf_Entry/Exit_sma30,Random Forest Classifier
-1.0,0.48962962962962964,0.638030888030888,0.5540653813914501,1036.0,pfcf_Entry/Exit_sma30,Logistic Regression
0.0,0.35948361469712015,0.35179786200194363,0.35559921414538304,1029.0,pfcf_Entry/Exit_sma30,Logistic Regression
